Incident ID,Incident Number,Incident Category
1,180940324,Motor Vehicle Theft
1,180972634,Other Miscellaneous
1,186292478,Larceny Theft
1,180967782,Larceny Theft
1,180915452,Traffic Violation Arrest
1,180981259,Weapons Carrying Etc
1,180984946,Larceny Theft
1,180947621,Offences Against The Family And Children
1,180980784,Other Miscellaneous
1,180949138,Traffic Violation Arrest
1,186288950,Larceny Theft
1,186298313,Larceny Theft
2,160646536,Warrant
1,186285558,Lost Property
1,186291737,Larceny Theft
1,180930193,Traffic Violation Arrest
1,180946407,Burglary
1,180925978,Traffic Violation Arrest
1,186283148,Larceny Theft
1,180947756,Motor Vehicle Theft
1,180969603,Other Miscellaneous
1,186281556,Fraud
1,180974925,Offences Against The Family And Children
1,180922009,Other Miscellaneous
1,180942938,Non-Criminal
1,180910571,Recovered Vehicle
1,186291680,Lost Property
2,180922112,Malicious Mischief
1,186287504,Larceny Theft
1,180930870,Larceny Theft
1,186294258,Larceny Theft
1,180973836,Recovered Vehicle
1,180983324,Robbery
2,180964590,Other Miscellaneous
1,196000948,Larceny Theft
1,190004302,Malicious Mischief
2,196016008,Lost Property
1,186285398,Lost Property
1,180978892,Malicious Mischief
2,180929500,Burglary
2,180923869,Larceny Theft
1,180926534,Other Miscellaneous
1,186298802,Larceny Theft
1,180918296,Non-Criminal
1,180980546,Suspicious Occ
1,186297860,Burglary
1,180953678,Other Miscellaneous
1,180959767,Other Miscellaneous
1,180984645,Larceny Theft
1,180963172,Larceny Theft
1,180950301,Assault
1,180984576,Assault
1,180923035,Assault
1,180977305,Drug Offense
2,180933551,Sex Offense
1,180911557,Non-Criminal
1,180918092,Suspicious Occ
1,180938307,Non-Criminal
3,186279288,Larceny Theft
1,186291696,Larceny Theft
1,180931840,Larceny Theft
1,180842015,Assault
2,180927742,Missing Person
1,180970127,Larceny Theft
1,180615793,Warrant
1,180962118,Larceny Theft
1,186299355,Larceny Theft
3,180965253,Drug Offense
2,186287009,Larceny Theft
1,180965736,Robbery
1,186298034,Malicious Mischief
1,186298517,Larceny Theft
1,186298620,Larceny Theft
1,180907396,Other
1,180956406,Assault
2,186292826,Larceny Theft
3,180953292,Burglary
1,180934731,Robbery
1,180962243,Non-Criminal
1,186299060,Larceny Theft
1,180952040,Malicious Mischief
1,180940954,Malicious Mischief
1,180973115,Larceny Theft
1,186299402,Larceny Theft
1,180984059,Motor Vehicle Theft
1,180926835,Assault
1,189005448,Fraud
1,180965770,Other
1,186285871,Malicious Mischief
1,180907788,Larceny Theft
2,186289607,Larceny Theft
1,186294349,Larceny Theft
1,180910383,Other Miscellaneous
1,180925906,Larceny Theft
1,180954610,Other Miscellaneous
1,196001429,Larceny Theft
1,180944025,Larceny Theft
1,180975694,Recovered Vehicle
1,190027122,Burglary
1,190000974,Motor Vehicle Theft
1,180919482,Fraud
1,180931226,Larceny Theft
1,180967362,Larceny Theft
1,180923950,Missing Person
2,180959121,Assault
1,180948334,Warrant
1,180981011,Assault
1,186301392,Larceny Theft
1,180967099,Weapons Offense
1,180961784,Recovered Vehicle
1,180920235,Non-Criminal
1,180974486,Motor Vehicle Theft
2,180979925,Fraud
1,186292393,Larceny Theft
1,180915383,Recovered Vehicle
1,190018739,Larceny Theft
1,180964186,Other Miscellaneous
1,180941457,Fraud
1,180978698,Assault
1,180984974,Other Miscellaneous
1,180978046,Larceny Theft
1,190004051,Motor Vehicle Theft
1,180949843,Assault
1,186287811,Larceny Theft
1,180972800,Traffic Violation Arrest
1,186287140,Larceny Theft
1,180967920,Larceny Theft
1,180973171,Larceny Theft
1,186280439,Larceny Theft
1,186294929,Lost Property
1,180858943,Recovered Vehicle
1,180954494,Non-Criminal
1,180944677,Assault
1,180921841,Assault
1,180962102,Larceny Theft
1,190076696,Disorderly Conduct
2,180934662,Other Offenses
1,180983948,Non-Criminal
1,180685310,Warrant
1,180954773,Larceny Theft
1,190020596,Sex Offense
1,180940863,Other Miscellaneous
1,180929146,Miscellaneous Investigation
1,180979828,Other Miscellaneous
1,180971216,Larceny Theft
1,180928079,Larceny Theft
1,180983625,Larceny Theft
1,180914034,Non-Criminal
2,180947411,Other Miscellaneous
1,180928461,Assault
1,186295535,Larceny Theft
1,190071709,Sex Offense
1,180929732,Assault
1,186285116,Larceny Theft
1,180944699,Motor Vehicle Theft
1,180965485,Other
1,196002013,Lost Property
3,180937337,Missing Person
1,180957404,Assault
2,180981384,Warrant
1,186283085,Larceny Theft
2,180933664,Other Miscellaneous
2,186285304,Larceny Theft
1,180925780,Burglary
1,180926807,Assault
