Incident Date,Incident ID,Incident Category
2018/12/15,2,Traffic Collision
2018/12/30,123,Larceny Theft
2018/12/31,126,Larceny Theft
2018/12/26,2,Weapons Offense
2018/12/02,2,Stolen Property
2018/12/08,1,Other
2018/12/29,2,Traffic Violation Arrest
2018/12/06,7,Missing Person
2018/12/08,2,Other Offenses
2018/12/04,26,Other Miscellaneous
2018/12/24,1,Traffic Collision
2018/12/16,20,Malicious Mischief
2018/12/01,17,Offences Against The Family And Children
2019/01/01,5,Larceny Theft
2018/12/16,23,Assault
2018/12/19,4,Other
2018/12/06,1,Embezzlement
2018/12/02,18,Warrant
2018/12/13,6,Other Offenses
2018/12/21,23,Lost Property
2018/12/11,6,Robbery
2018/12/17,2,Weapons Carrying Etc
2018/12/04,27,Non-Criminal
2018/12/12,15,Burglary
2018/12/13,5,Other
2018/12/17,6,Suspicious Occ
2018/12/28,15,Robbery
2018/12/10,1,Forgery And Counterfeiting
2018/12/23,13,Burglary
2018/12/19,4,Other Offenses
2018/12/22,2,Sex Offense
2018/12/20,13,Recovered Vehicle
2018/12/09,14,Lost Property
2018/12/04,12,Missing Person
2018/12/12,1,Courtesy Report
2018/12/07,4,Stolen Property
2018/12/06,25,Other Miscellaneous
2018/12/08,1,Weapons Carrying Etc
2018/12/08,10,Suspicious Occ
2018/12/10,15,Assault
2018/12/14,1,Liquor Laws
2018/12/26,2,Vehicle Impounded
2018/12/05,130,Larceny Theft
2018/12/09,6,Miscellaneous Investigation
2018/12/06,31,Non-Criminal
2018/12/03,9,Traffic Violation Arrest
2018/12/13,11,Suspicious Occ
2018/12/07,11,Warrant
2018/12/17,3,Other
2018/12/10,21,Malicious Mischief
2018/12/16,1,Vandalism
2018/12/04,1,Embezzlement
2018/12/17,1,Other Offenses
2018/12/07,2,Case Closure
2018/12/19,9,Suspicious Occ
2018/12/29,1,Family Offense
2018/12/16,1,Embezzlement
2018/12/28,2,Miscellaneous Investigation
2018/12/31,4,Other Offenses
2018/12/03,6,Stolen Property
2018/12/24,8,Recovered Vehicle
2018/12/30,3,Other Offenses
2018/12/25,9,Recovered Vehicle
2018/12/06,29,Assault
